source,target,type,stiffness,distance_m,src_type,tgt_type
28,32,support,1.1,3.83,girder,pier
28,29,support,1.0,42.16,pier,ground
29,32,support,0.9,43.08,ground,girder
26,49,girder,0.61,194.58,girder,girder
22,49,girder,0.84,78.69,girder,girder
22,26,girder,0.5,273.09,girder,girder
32,36,girder,0.87,64.58,girder,girder
29,36,support,0.9,27.08,ground,girder
26,44,girder,0.86,68.8,girder,girder
29,44,support,0.9,29.21,girder,ground
26,29,support,0.9,47.35,ground,girder
36,44,girder,0.97,16.36,girder,girder
36,40,support,1.1,186.21,girder,pier
32,40,support,1.1,250.72,pier,girder
36,45,girder,0.82,92.0,girder,girder
40,45,support,1.1,94.26,girder,pier
25,49,support,0.9,70.88,girder,ground
22,25,support,0.9,17.46,ground,girder
49,53,support,0.9,187.19,ground,girder
26,53,support,0.9,18.32,girder,ground
28,53,support,1.0,16.23,ground,pier
32,53,support,0.9,19.39,girder,ground
40,51,support,1.1,451.01,girder,pier
24,40,pier,0.6,526.68,pier,pier
24,51,support,1.1,76.26,pier,girder
32,51,girder,0.6,200.31,girder,girder
25,51,support,0.9,67.11,ground,girder
24,25,support,1.0,12.93,pier,ground
49,51,girder,0.97,16.27,girder,girder
51,53,support,0.9,190.43,girder,ground
31,36,support,1.1,54.02,girder,pier
31,45,support,1.1,38.74,pier,girder
31,44,support,1.1,53.72,girder,pier
38,39,support,1.1,3.4,pier,girder
38,41,support,0.9,17.71,girder,ground
39,41,support,1.0,15.5,ground,pier
39,40,pier,1.17,12.06,pier,pier
40,41,support,1.0,16.43,ground,pier
22,23,support,1.1,4.86,girder,pier
23,24,pier,1.17,11.93,pier,pier
22,24,support,1.1,15.23,pier,girder
23,25,support,1.0,13.89,pier,ground
27,53,support,1.0,15.14,pier,ground
26,27,support,1.1,3.81,girder,pier
27,28,pier,1.16,17.58,pier,pier
27,29,support,1.0,45.78,ground,pier
31,33,support,1.0,38.62,pier,ground
33,45,support,0.9,10.0,ground,girder
37,39,support,1.0,34.87,pier,ground
37,38,support,0.9,35.87,ground,girder
37,40,support,1.0,34.65,ground,pier
37,45,support,0.9,62.93,girder,ground
30,33,support,0.9,39.7,girder,ground
30,31,support,1.1,9.76,pier,girder
30,42,girder,0.92,38.08,girder,girder
33,42,support,0.9,13.73,girder,ground
30,44,girder,0.89,53.43,girder,girder
26,30,girder,0.76,122.21,girder,girder
33,35,support,1.0,42.28,ground,pier
35,45,support,1.1,41.38,pier,girder
35,42,support,1.1,39.86,girder,pier
35,37,support,1.0,23.96,pier,ground
34,35,support,1.1,4.02,girder,pier
34,42,girder,0.92,39.33,girder,girder
34,37,support,0.9,25.53,ground,girder
34,38,girder,0.89,56.35,girder,girder
30,34,girder,0.85,77.39,girder,girder
26,34,girder,0.6,199.58,girder,girder
