source,target,type,stiffness,distance_m,src_type,tgt_type
28,32,support,1.1,3.99,girder,pier
28,29,support,1.0,47.03,pier,ground
29,32,support,0.9,48.81,ground,girder
26,49,girder,0.61,194.55,girder,girder
22,49,girder,0.84,78.53,girder,girder
22,26,girder,0.5,273.08,girder,girder
32,36,girder,0.87,64.58,girder,girder
29,36,support,0.9,35.82,ground,girder
26,44,girder,0.86,68.79,girder,girder
29,44,support,0.9,37.46,girder,ground
26,29,support,0.9,52.62,ground,girder
36,44,girder,0.97,16.36,girder,girder
36,40,support,1.1,186.22,girder,pier
32,40,support,1.1,250.71,pier,girder
36,45,girder,0.82,91.97,girder,girder
40,45,support,1.1,94.31,girder,pier
25,49,support,0.9,73.96,girder,ground
22,25,support,0.9,29.59,ground,girder
49,53,support,0.9,188.37,ground,girder
26,53,support,0.9,29.37,girder,ground
28,53,support,1.0,26.41,ground,pier
32,53,support,0.9,30.05,girder,ground
40,51,support,1.1,450.97,girder,pier
24,40,pier,0.6,526.68,pier,pier
24,51,support,1.1,75.8,pier,girder
32,51,girder,0.6,200.29,girder,girder
25,51,support,0.9,70.35,ground,girder
24,25,support,1.0,25.43,pier,ground
49,51,girder,0.97,16.27,girder,girder
51,53,support,0.9,191.6,girder,ground
31,36,support,1.1,54.08,girder,pier
31,45,support,1.1,38.87,pier,girder
31,44,support,1.1,53.77,girder,pier
38,39,support,1.1,4.22,pier,girder
38,41,support,0.9,29.74,girder,ground
39,41,support,1.0,26.3,ground,pier
39,40,pier,1.17,12.06,pier,pier
40,41,support,1.0,26.86,ground,pier
22,23,support,1.1,4.23,girder,pier
23,24,pier,1.17,11.93,pier,pier
22,24,support,1.1,15.04,pier,girder
23,25,support,1.0,25.93,pier,ground
27,53,support,1.0,25.76,pier,ground
26,27,support,1.1,3.97,girder,pier
27,28,pier,1.16,17.58,pier,pier
27,29,support,1.0,50.3,ground,pier
31,33,support,1.0,43.89,pier,ground
33,45,support,0.9,26.26,ground,girder
37,39,support,1.0,40.83,pier,ground
37,38,support,0.9,43.1,ground,girder
37,40,support,1.0,40.65,ground,pier
37,45,support,0.9,67.45,girder,ground
30,33,support,0.9,46.34,girder,ground
30,31,support,1.1,10.22,pier,girder
30,42,girder,0.92,38.07,girder,girder
33,42,support,0.9,27.9,girder,ground
30,44,girder,0.89,53.42,girder,girder
26,30,girder,0.76,122.19,girder,girder
33,35,support,1.0,47.14,ground,pier
35,45,support,1.1,41.5,pier,girder
35,42,support,1.1,39.98,girder,pier
35,37,support,1.0,31.76,pier,ground
34,35,support,1.1,5.04,girder,pier
34,42,girder,0.92,39.32,girder,girder
34,37,support,0.9,34.97,ground,girder
34,38,girder,0.89,56.35,girder,girder
30,34,girder,0.85,77.39,girder,girder
26,34,girder,0.6,199.57,girder,girder
