source,target,type,stiffness,distance_m,src_type,tgt_type
22,23,support,1.1,4.86,girder,pier
22,24,support,1.1,15.23,girder,pier
26,27,support,1.1,3.81,girder,pier
26,53,support,0.9,18.32,girder,ground
30,31,support,1.1,9.76,girder,pier
30,42,girder,0.92,38.08,girder,girder
28,32,support,1.1,3.83,girder,pier
32,53,support,0.9,19.39,girder,ground
34,35,support,1.1,4.02,girder,pier
34,37,support,0.9,25.53,girder,ground
36,44,girder,0.97,16.36,girder,girder
29,36,support,0.9,27.08,girder,ground
38,39,support,1.1,3.4,girder,pier
38,40,support,1.1,14.95,girder,pier
33,42,support,0.9,13.73,girder,ground
42,45,girder,0.97,14.58,girder,girder
29,44,support,0.9,29.21,girder,ground
33,45,support,0.9,10.0,girder,ground
49,51,girder,0.97,16.27,girder,girder
25,49,support,0.9,70.88,girder,ground
25,51,support,0.9,67.11,girder,ground
23,24,pier,1.17,11.93,pier,pier
24,25,support,1.0,12.93,pier,ground
27,53,support,1.0,15.14,pier,ground
28,53,support,1.0,16.23,pier,ground
31,33,support,1.0,38.62,pier,ground
35,37,support,1.0,23.96,pier,ground
39,40,pier,1.17,12.06,pier,pier
23,25,support,1.0,13.89,ground,pier
39,41,support,1.0,15.5,ground,pier
40,41,support,1.0,16.43,ground,pier
