source,target,type,stiffness,distance_m,src_type,tgt_type
22,23,support,1.61,4.86,girder,pier
22,24,support,1.47,15.23,girder,pier
22,25,support,0.7,17.46,girder,ground
26,27,support,1.63,3.81,girder,pier
26,53,support,0.7,18.32,girder,ground
26,28,support,1.4,20.14,girder,pier
30,31,support,1.54,9.76,girder,pier
30,42,girder,0.91,38.08,girder,girder
30,33,support,0.7,39.7,girder,ground
28,32,support,1.63,3.83,girder,pier
32,53,support,0.7,19.39,girder,ground
27,32,support,1.4,20.18,girder,pier
34,35,support,1.62,4.02,girder,pier
34,37,support,0.7,25.53,girder,ground
34,42,girder,0.9,39.33,girder,girder
36,44,girder,1.02,16.36,girder,girder
29,36,support,0.7,27.08,girder,ground
30,36,girder,0.82,56.61,girder,girder
38,39,support,1.63,3.4,girder,pier
38,40,support,1.47,14.95,girder,pier
38,41,support,0.7,17.71,girder,ground
33,42,support,0.7,13.73,girder,ground
42,45,girder,1.03,14.58,girder,girder
29,44,support,0.7,29.21,girder,ground
30,44,girder,0.83,53.43,girder,girder
33,45,support,0.7,10.0,girder,ground
31,45,support,1.14,38.74,girder,pier
49,51,girder,1.02,16.27,girder,girder
25,49,support,0.7,70.88,girder,ground
22,49,girder,0.71,78.69,girder,girder
25,51,support,0.7,67.11,girder,ground
22,51,girder,0.71,77.01,girder,girder
23,24,pier,1.34,11.93,pier,pier
23,25,support,0.7,13.89,pier,ground
24,25,support,0.7,12.93,pier,ground
27,53,support,0.7,15.14,pier,ground
27,28,pier,1.32,17.58,pier,pier
28,53,support,0.7,16.23,pier,ground
31,42,support,1.12,39.81,pier,girder
35,42,support,1.12,39.86,pier,girder
35,45,support,1.1,41.38,pier,girder
39,40,pier,1.34,12.06,pier,pier
39,41,support,0.7,15.5,pier,ground
40,41,support,0.7,16.43,pier,ground
29,32,support,0.7,43.08,ground,girder
37,38,support,0.7,35.87,ground,girder
37,41,ground,0.49,45.7,ground,ground
